需求 ID,功能描述,優先級,相關模組,驗收標準,SDD 澄清決策
REQ-011,"優惠組合包：設定百分比折扣。組合包與一般商品共用「加入購物車」功能，折扣在加入購物車時自動計算。（更新：共用加入購物車功能）",中,前端/後端,"自動計算；庫存扣減；折扣正確顯示。","組合包共用加入購物車功能；折扣加入時自動計算。"
REQ-012,"庫存管理：以「商品」為單位管理（無 SKU 層級）。庫存管理頁為表格式清單含行內編輯。庫存數量僅 >= 0 驗證無上限。扣減由建立訂單流程同步觸發（樂觀鎖 @Version），庫存不足直接拒絕整筆扣減不做部分扣減。低庫存門檻為各商品個別設定（預設 10），Email 警示收件者為管理員，每商品每次觸發只發一次（直到庫存回補），Email 內容含商品名稱+目前庫存+門檻值。系統保存警示紀錄避免重複通知。（更新：商品單位、行內編輯、樂觀鎖、門檻設定、警示規則）",中,後端,"防止超賣（樂觀鎖）；Email 警示不重複；行內編輯正常；門檻個別設定。","商品單位無 SKU；行內編輯；僅 >= 0 無上限；樂觀鎖同步扣減拒絕整筆；門檻各商品個別設定預設 10；警示每觸發一次直到回補；Email 含名稱+庫存+門檻。"
REQ-013,"訂單通知：下單確認（訂單建立成功時觸發）與發貨通知（狀態變為「已出貨」時觸發）兩種類型。使用 Java Mail（Jakarta Mail）原生 SMTP 發送，不串接第三方 Email 服務。Email 模板自訂範圍為標題與內文（HTML 模板，結構固定）。Email 基本格式驗證。系統記錄每次通知發送的時間與結果。不整合 SMS。事件驅動自動觸發。（更新：改用 Java Mail 原生 SMTP）",中,後端,"Email 模板自訂；SMTP 發送成功；發送紀錄可查。","下單確認+發貨通知兩種；Java Mail 原生 SMTP 發送；HTML 模板標題+內文可自訂；事件驅動觸發；記錄發送時間與結果。"
REQ-014,"使用者認證：後台 Email + 密碼登入（不含 OAuth）。JWT Token 認證（Access Token 30 分鐘 + Refresh Token 7 天）。登入成功回傳 accessToken、refreshToken、角色、使用者名稱。記錄登入時間與 IP 供稽核。連續登入失敗 5 次鎖定帳號 30 分鐘。統一錯誤訊息「帳號或密碼錯誤」防止帳號列舉。RBAC 僅「管理員」與「一般使用者」兩種角色。MENU 控制：管理員看全部 MENU，一般使用者僅看訂單查詢與商品查詢。不可將最後一位管理員降級。登入頁為最小 MVP（帳號+密碼+登入按鈕，無忘記密碼）。權限管理頁為使用者清單表格 + 角色下拉選單。（更新：JWT 機制、鎖定機制、錯誤訊息、MENU 對應、降級保護、UI 設計）",中,後端,"MENU 依權限顯示；JWT 正確簽發；鎖定機制正常；最後管理員保護。","Email+密碼登入無 OAuth；JWT Access 30min + Refresh 7天；登入失敗 5 次鎖 30 分鐘；統一錯誤訊息；管理員/一般使用者兩種角色；MENU 分頁控制；不可降級最後管理員。"
REQ-015,安全與合規：HTTPS、加密、防攻擊。,中,全模組,掃描通過。,（無新增澄清）
REQ-016,報表功能：銷售報表、圖表。,低,後端,Chart.js；PDF 匯出。,（無新增澄清）
REQ-017,SEO 優化：Meta Tags、Sitemap。,低,前端,Google 驗證。,（無新增澄清）
REQ-018,多語言支援：預設繁中。,低,前端/後端,切換正常。,（無新增澄清）
REQ-019,"技術規格：ReactJS 前端；Java Spring Boot + JPA 後端（base package: com.onepage.product，後端路徑前綴 backend/）；PostgreSQL 資料庫；E2E 測試（Cucumber + Spring Boot Test）；Flyway 資料庫遷移。（更新：base package、路徑前綴、測試策略）",高,全模組,"環境搭建；綠界 API 成功；Cucumber 測試通過。","base package: com.onepage.product；後端路徑 backend/；E2E Test: Cucumber + Spring Boot Test + PostgreSQL；Flyway 遷移。"
REQ-020,"預購功能：後台上架預購商品，設定預購期、價格/庫存、專屬折扣（百分比）。前端顯示預購標籤與倒數計時器（伺服器時間透過 API 端點同步，前端本地倒數）。預購商品與一般商品共用商品頁 UI（動態顯示預購元素）。折扣直接顯示折扣後價格與原價刪除線。預購商品不可與一般商品混合下單。出貨期限 = 預購結束日 + 7 天（後台可手動調整）。預購期滿 Email 通知由每日排程任務掃描觸發。（更新：時間同步機制、共用頁面、折扣顯示、不可混合、排程通知）",中,前端/後端,"計時器倒數正常（伺服器同步）；預購不可與一般混合；期滿 Email 每日排程寄送；出貨期限 +7 天。","伺服器時間 API 同步+本地倒數；共用商品頁 UI；折扣顯示折扣價+原價刪除線；不可混合下單；出貨期限=預購結束日+7天；每日排程掃描觸發通知。"
REQ-021,"部署環境：使用 Docker Compose 容器化（包含 React 前端服務、Spring Boot 後端服務、PostgreSQL 資料庫）；支援開發/生產環境配置。（新增：Docker 部署）",高,全模組,"docker-compose up 啟動成功；服務間連線正常；前端可存取後端 API。",（無新增澄清）
REQ-022,"商品類型管理：僅後台管理員操作。主分類與子分類為嚴格父子關係（子分類歸屬一個父分類）。僅支援新增/修改，不支援刪除（避免影響既有商品）。前端表單載入時重新取得最新類型清單（無 WebSocket）。（更新：僅管理員操作、父子關係、不可刪除、前端同步方式）",中,後端/前端,"前端表單正常；後端資料更新；前端選項載入時更新；不可刪除驗證。","僅管理員操作；嚴格父子關係；僅新增/修改不可刪除；前端載入時 re-fetch。"
REQ-023,"網站設定：與 REQ-007 合併。詳見 REQ-007 網站管理功能，涵蓋網站 CRUD、訂閱方案、上下架時間、Banner/宣傳圖片、商品批次關聯、URL 自動產生等完整功能。（更新：完全併入 REQ-007）",高,後端/前端,"詳見 REQ-007 驗收標準。","完全併入 REQ-007。"
REQ-024,"前台商品集合頁：當使用者存取 /project/{網站ID} 時，顯示該網站的商品集合頁。版面由上至下一頁式滾動排列：網站 Banner 圖片 → 宣傳文案圖片 → 商品列表（卡片式排列，每張卡片含商品圖片、名稱、價格，點擊進入 /project/{網站ID}/product/{商品slug} 商品詳情頁）。僅顯示已到達上架時間且網站狀態為「已上線」的商品。響應式設計支援手機與桌面瀏覽。（新增：前台集合頁需求）",高,前端,"集合頁正確顯示 Banner、文案圖片、商品卡片列表；僅顯示已上架商品；卡片點擊正確導向商品頁；響應式佈局正常；FCP < 3 秒。","URL /project/{網站ID}；一頁式滾動：Banner→文案圖片→商品卡片列表；卡片含圖片+名稱+價格；僅顯示已上架且網站已上線的商品；響應式設計。"
REQ-025,"訂單退貨標註：後台管理員可將已付款訂單標註為「已退貨」狀態。退貨僅為狀態標註，後續退款與客戶聯繫由人工處理。標註退貨後，可對該訂單的發票透過綠界折讓 API 執行全額折讓（折讓至 0 元，參照 REQ-010）。訂單狀態流轉新增：已付款 → 已退貨。退貨標註需二次確認（彈出確認框）。（新增：退貨標註功能）",高,後端,"退貨標註成功；狀態正確流轉為「已退貨」；二次確認正常；可對退貨訂單發票執行全額折讓。","僅標註狀態不自動退款；人工處理後續聯繫與退款；發票走折讓流程至 0 元；需二次確認；狀態流轉：已付款→已退貨。"
